,제목,가사,가수,발매일,좋아요수,장르
30,잘가요 내사랑 (Inst.),"오늘이 지나가면 우리는
다시는 볼 수 없겠죠
서로를 가슴속에 묻고서
또 하루 살아가겠죠
미안해요
잘해주지 못해서
나 때문에 고생만 해서
잘 가요 내 사랑
이젠 아프지 마요
잘 가요 내 사랑
다신 울지도 마요
그리워 그리워
너무 그리울 때면
눈물 한 방울로 잊어요
나나나나
나나나나
잊진 않을게요
나나나나
나나나나
잘 가요 내 사랑
비좁은 내 안에서 살면서
얼마나 힘들었나요
시간을 돌릴 수만 있다면
조금 더 사랑할 텐데
고마워요 이 못난 날 만나서
좋은 추억 만들어줘서
잘 가요 내 사랑
이젠 아프지 마요
잘 가요 내 사랑
다신 울지도 마요
그리워 그리워
너무 그리울 때면
눈물 한 방울로 잊어요
사랑해 사랑해
아껴둔 이 한마디
그댈 만나 행복했어요
나나나나
나나나나
잊진 않을게요
나나나나
나나나나
잘 가요 내 사랑",정동원,2021.11.17,"4,260",성인가요/트로트
31,장미 (Cover Ver.),"그대가 보내준 장미 한송이
이별의 선물로 장미 한송이
너무나 예쁜 장미 한송이
너무나 예쁜 장미 한송이
하지만 오늘은 예쁘질 않네
하지만 오늘은 예쁘질 않네
장미 장미 한송이
장미 장미 한송이
한송이 장미 꽃병에 꽂고
한동안 멍하니 바라보았네
너무나 예쁜 장미 한송이
가시가 아픈 장미 한송이
내 마음 내 가슴 꼭 찌르네
내 마음 내 가슴 꼭 찌르네
장미 장미 한송이
장미 장미 한송이
장미 장미 한송이
장미 장미 한송이
장미 장미 한송이
장미 장미 한송이",미스터 팡,2021.12.03,4,성인가요/트로트
32,어차피,"어차피 어차피 어차피 어차피
어차피 어차피 어차피 어차피
당신은 당신은 당신은 당신은
당신은 당신은 당신은 당신은
기억도 기억도 못할텐데 못할텐데
어차피 당신은 기억도 못할텐데
어차피 어차피 어차피 어차피
어차피 당신은 기억도 못할텐데
어차피 어차피 어차피 어차피
어차피 어차피 어차피 어차피
당신은 당신은 당신은 당신은
당신은 당신은 당신은 당신은
생각도 생각도 안날텐데 안날텐데
어차피 당신은 생각도 안날텐데
어차피 어차피 어차피 어차피
어차피 당신은 생각도 안날텐데
어차피 당신은 생각도 안날텐데
가사는 뭐하려고 쓰나",영기,2022.06.06,188,성인가요/트로트
33,간이역에(Slow ver.),"맨드라미 피고지는 눈물 젖은 간이역에
녹슬은 평행선이 우리 사랑 인가요
손수건 적시는 기적소리에
한없이 울던 여인아
맺지 못할 인연에 짧았던 사랑
이제는 끝인가요
미련이 남아서 인사는 못해요
부디부디 행복해다오
귀뚜라미 슬피우는 안개 짙은 간이역에
님실은 완행열차 무정 하게 떠나고
이별이 서러운 기적소리에
목놓아 울던 사람아
맺지 못할 인연에 짧았던 사랑
이제는 끝인가요
안녕히가라는 한마딜못해서
내 가슴이 너무 아프다
안녕히가라는 한마딜못해서
내 가슴이 너무 아프다",양지원 (YangJiwon),2022.07.07,106,성인가요/트로트
34,정주지 않으리 (MR),"사랑하다 헤어지면
그만인 줄 나는 알았는데
헤어지고 남는 것은
눈물보다 정이었네
이제는 그 누구를
다시 사랑하더라도
정 주지 않으리라
정 주지 않으리라
사랑보다 깊은 정은
두 번 다시 주지 않으리
미워하고 돌아서면
잊혀질 줄 나는 알았는데
이별 뒤에 남는 것은
미련보다 정이었네
이제는 그 누구를
다시 사랑 하더라도
정 주지 않으리라
정 주지 않으리라
사랑보다 깊은 정은
두 번 다시 주지 않으리
이제는 그 누구를
다시 사랑하더라도
다시 사랑하더라도~
정 주지 않으리라
정 주지 않으리라
정 주지 않으리라
정 주지 않으리라
사랑보다 깊은 정은
두번 다시
주지 않으리
두번 다시 주지 않으리",손태진,2023.01.04,61,성인가요/트로트
35,아모레미오 (MR),"처음 그대와 마주친 그 순간
어제와 다른 내 모습이 거울에 비춰요
그런 사랑에 내 모습 변할 때
모르고 지나치던 아침이
나를 행복하게 해
아모레모레미오
아모레모레미오
사랑의 시작은 이런건가요
아모레모레미오
아모레모레미오
행복의 문으로 아모레미오
아모레아모레미오
아모레아모레미오
아모레아모레미오
아모레모레미오
아모레모레미오
행복의 문으로 아모레미오
행복의 문으로 아모레
아모레아모레미오
올레!",강설민,2023.02.01,16,성인가요/트로트
36,사나이 가슴에 비가 내리네(MR),"사나이 가슴에
비가 내려요
충무로에도
비만 내려요
돌아서서 그냥 갔어요
이젠 꿈이라 생각해요
비오는 거리 충무로에서
아 왜 망설이시나요
여자의 마음은 다 그런건가요
남자의 가슴에 못을 박고서
울기만 하긴가요
아아아아 당신은
아 이 마음 모르나요
사나이 가슴에
비가 내려요
충무로에도
비만 내려요
돌아서서 그냥 갔어요
이젠 잊는다 생각해요
비오는 거리 충무로에서
아 왜 떠나지 못해요
여자의 마음은 다 그런건가요
남자의 가슴에 못을 박고서
울기만 하긴가요
아아아아 당신은
아 이 마음 모르나요
사나이 가슴에
비가 내려요
충무로에도
비만 내려요
충무로에도
비만 내려요",성리,2023.02.03,18,성인가요/트로트
37,너는 내 남자 (DJ처리 Remix Ver.),"꽉낀 청바지 갈아입고

거리에 나섰다

오늘따라 보고싶어

너무나 보고싶어

그 까페를 찾아갔지만

너의 모습은

보이지 않았어

너를 의식못한 내방식대로

사랑한 탓으로

왠지 너를 놓칠 것 같은

예감 때문에

돌아오는 길이 난 무척 힘들었어

내가 미워도 한눈팔지마

너는 내남자

그래도 언제나 너는 내남자



다시한번 마음돌려

내게로 돌아와

오늘따라 보고싶어

너무나 보고싶어

그 까페를 찾아갔지만

너의 모습은

보이지 않았어

너를 이해못한 내방식대로

사랑한 탓으로

왠지너를 놓칠것 같은 예감 때문에

돌아오는 길이 난 무척 힘들었어

내가 미워도 한눈팔지마

너는 내남자

그래도 언제나 너는 내남자

너를 의식못한 내방식대로 사랑한

탓으로 왠지너를 놓칠것 같은 예감때문에

돌아오는 길이 난 무척 힘들었어

내가 미워도 한눈팔지마

너는 내 남자

그래도 언제나 너는 내 남자",한혜진,2005.04.01,116,성인가요/트로트
38,거짓말,"한 잎 두 잎 떨어지는 장미 꽃잎도
목이 말라 시들어 가고
촛불하나 커피 한 잔 앞에 두고
내 가슴은 멍이 드는데
거짓말 거짓말 그대가 내게 준
사랑은 아니야 나나 나나나 나나
나나 나나나 나나
나나 나나나 나나
날 진정 사랑 했나요
바보 바보 바보야
정말 바보 바보야
내 맘을 울리는 나쁜 사람아

높고 푸른 저 하늘에 새가 되어
그대에게 날아 갔으면
밤별들이 총총이던 어느날 밤에
내게 고백 해주던 사람
거짓말 거짓말 그대가 내게 준
사랑은 아니야
나나 나나나 나나
나나 나나나 나나
나나 나나나 나나
날 진정 사랑 했나요
바보 바보 바보야
정말 바보 바보야
내 맘을 울리는 나쁜 사람아
바보 바보 바보야
정말 바보 바보야
내 맘을 울리는 나쁜 사람아",장윤정,2008.06.27,202,성인가요/트로트
39,창가에,"당신의 가슴에 살며시 기대어
수줍어 말못하던 그때 그날이 꿈이었나봐
지금은 헤어져 남남이지만 남남이지만
그리워 하는것도 죄가 되나요 죄가 되나요
창가에 내리는 밤안개는 당신의 마음인가

지금은 헤어져 남남이지만 남남이지만
그리워 하는것도 죄가 되나요 죄가 되나요
창가에 내리는 밤안개는 당신의 마음인가",박진석,1994.12.01,33,성인가요/트로트
40,홍시 (울엄마) (나훈아),"생각이 난다 홍시가 열리면
울엄마가 생각이 난다
자장가 대신 젖가슴을 내주던
울엄마가 생각이 난다
눈이 오면 눈 맞을 세라
비가 오면 비 젖을세라
험한 세상 넘어질세라
사랑 땜에 울먹일세라
그리워진다 홍시가 열리면
울엄마가 그리워진다
눈에 넣어도 아프지도 않겠다던
울엄마가 그리워진다
생각이 난다 홍시가 열리면
울엄마가 생각이 난다
회초리 치고 돌아앉아 우시던
울엄마가 생각이 난다
바람 불면 감기 들세라
안 먹어서 약해질세라
힘든 세상 뒤쳐질세라
사랑 땜에 아파할세라
그리워진다 홍시가 열리면
울엄마가 그리워진다
생각만 해도 눈물이 핑 도는
울엄마가 그리워진다
생각만 해도 가슴이 찡하는
울엄마가 그리워진다
울 엄마가 생각이 난다
울 엄마가 보고파진다",채환,2009.03.23,"1,189",성인가요/트로트
41,뽀뽀,"우린 서로 사랑하잖아
너무너무 좋아하잖아
그런데 왜 나를 못 믿어
지난 일은 과거사잖아
이 세상에 오직 한 사람
내 사랑은 당신이잖아
봄날처럼 따사로운
당신의 그 미소를
다시 한 번 나에게
보여 줄 수 없겠니
단 한 번의
뜨거운 뽀뽀로
아픈 기억 다
지우고 싶다
우린 서로 사랑하잖아
너무너무 좋아하잖아
그런데 왜 나를 못 믿어
지난 일은 과거사잖아
이 세상에 오직 한 사람
내 사랑은 당신이잖아
봄날처럼 따사로운
당신의 그 미소를
다시 한 번 나에게
보여 줄 수 없겠니
단 한 번의
뜨거운 뽀뽀로
아픈 기억 다
지우고 싶다
단 한 번의
뜨거운 뽀뽀로
아픈 기억 다
지우고 싶다
아픈 기억 다
지우고 싶다",남진,2012.06.14,316,성인가요/트로트
42,동네오빠,"오빠
동네오빠야
오빠 오빠 오빠 오빠
각수 오빠야
알고 보면
괜찮은 오빠
계산할때
잘생긴 오빠
가성비 최고인
오빠야
혼자 밥 먹기
싫을때
커피한잔이
땡길때
주저 말고
동네오빠 불러주세요
아플때는
119
무서울때는
112
심심할땐
동네오빠 불러주세요
오빠
동네오빠야
오빠 오빠 오빠 오빠
각수 오빠야
알고보면
괜찮은 오빠
계산할때
잘생긴 오빠
가성비 최고인
오빠야
오빠
동네오빠야
오빠 오빠 오빠 오빠
각수 오빠야
알고보면
괜찮은 오빠
계산할때
잘생긴 오빠
가성비 최고인
오빠야
내생애 최고의
오빠야",각오빠,2020.10.24,140,성인가요/트로트
43,오르락 내리락,"오르락내리락해 자꾸만 오빠땜에
내 맘은 흔들흔들 서 있을 수도 없어
어제는 다정하게 오늘은 냉정하게
맘대로 들어왔다가 멋대로 떠나
오르락내리락해 자꾸만 오빠땜에
내 맘은 흔들흔들 서 있을 수도 없어
어제는 다정하게 오늘은 냉정하게
맘대로 들어왔다 멋대로 나가버려
날 왜 그렇게 보니 그 미소는 대체 뭐니
설레는 눈빛으로 자꾸 내 맘 훔쳐
하지만 왜 그런지 늘 스쳐가는 손길
뭐 땜에 이렇게 날 내버려두는지
술에 취해서 또 너에 취해서
내일은 잊은 채로 그대 품에 안겨
집에 안 갈래 Oh 왜 자꾸 보내
날 지켜 준다는 말 이젠 하지마
오르락내리락해 자꾸만 오빠땜에
내 맘은 흔들흔들 서 있을 수도 없어
어제는 다정하게 오늘은 냉정하게
맘대로 들어왔다가 멋대로 떠나
더이상 못 참겠어 오늘은 말하겠어
이렇게 흔들리게 가만둘 수 없어
바람이 자꾸 불어 더 세게 나를 잡아
잠시도 나를 홀로 내버려두지마
술에 취해서 또 너에 취해서
내일은 잊은 채로 그대 품에 안겨
집에 안 갈래 Oh 왜 자꾸 보내
날 지켜 준다는 말 이젠 하지마
오르락내리락해 자꾸만 오빠땜에
내 맘은 흔들흔들 서 있을 수도 없어
어제는 다정하게 오늘은 냉정하게
맘대로 들어왔다가 멋대로 떠나
Na Na Na
오르락 내리락",류세라,2020.12.09,719,성인가요/트로트
44,손님온다 EDM REMIX,"손님 온다 손님 온다 손님 오신다
반가운 손님이 줄지어 오신다
일월에 오는 손님은
일찌감치 와서 예쁜 손님
이월에 오는 손님은
이판사판 우리 집만 오는 손님
삼월에 오는 손님은
삼척동자도 아는 손님
사월에 오는 손님은
사랑 주고 받고 싶은 손님
손님 온다 손님 온다
손님 오신다 반가운 손님이
줄지어 오신다
오월에 오는 손님은
오다가다 정든 단골손님
유월에 오는 손님은
유난히도 잘해주고 싶은 손님
칠월에 오는 손님은
칠월더위를 식혀주고
팔월에 오는 손님은
팔팔 끓는 속도 달래주네
손님 온다 손님 온다
손님 오신다 반가운 손님이
줄지어 오신다
구월에 오는 손님은
구경만하고 가도 좋은 손님
시월에 오는 손님은
시원시원 손이 커서 큰손님
십일월에 오는 손님은
십시일반 동네손님
십이월에 오는 손님은
시비 않고 매너 좋은 멋쟁이 손님
손님 온다 손님 온다
손님 오신다 반가운 손님이
줄지어 오신다
이 고장 저 고장 물 건너
이웃나라 먼 나라에서
사계절 열두 달 끊임이 없이
손님이 몰려온다",파스텔걸스,2021.02.25,90,성인가요/트로트
45,다시 만나면 잘해줄게,"다시 만나면 잘해줄게
다시 만나면 잘해줄게
다시 만나면 잘해줄게
내가 또 울렸지 내가 또 짜증냈지
아프게 하고 말았지
내 맘이 아닌데 내 마음은 이게 아닌데
그 땐 내가 왜 그랬을까
잘해주기만 해도 짧은 인생에
알콩달콩 잘살아보세
사랑하는 사람아 사랑하는 사람아
다시 만나면 잘해줄게
다시 만나면 잘해줄게
다시 만나면 잘해줄게
다시 만나면 잘해줄게
내가 또 울렸지 내가 또 짜증냈지
아프게 하고 말았지
내 맘이 아닌데 내 마음은 이게 아닌데
그 땐 내가 왜 그랬을까
잘해주기만 해도 짧은 인생에
알콩달콩 잘살아보세
사랑하는 사람아 사랑하는 사람아
다시 만나면 잘해줄게
사랑하는 사람아 사랑하는 사람아
다시 만나면 잘해줄게
다시 만나면 잘해줄게",공훈,2021.08.28,43,성인가요/트로트
46,사랑밖엔 난 몰라,"그대 내 곁에 선 순간
그 눈빛이 너무 좋아

어제는 울었지만
오늘은 당신 땜에

내일은
행복할 거야

얼굴도 아니
멋도 아니 아니

부드러운 사랑만이
필요했어요

지나간 세월 모두
잊어버리게

당신 없인 아무것도 이젠
할 수 없어

사랑밖엔
난 몰라


무심히 버려진
날 위해

울어주던
단 한 사람

커다란 어깨 위에
기대고 싶은 꿈을

당신은
깨지 말아요

이 날을 언제나
기다렸어요

서러운 세월만큼
안아주세요

그리움 바람처럼
사라질까 봐

사랑하다 헤어지면
다시

보고 싶고
당신이 너무 좋아",심수봉,2021.12.24,23,성인가요/트로트
47,세월이 약이겠지요,"세월이 약이겠지요
당신의 슬픔을
괴롭다 하지말고
서럽다 울지를 마오
세월이 흐르면
사랑의 슬픔은
잊어버린다
이슬픔 모두가
세월이 약이겠지요
세월이 약이겠지요
세월이 약이랍니다
이몸의 슬픔을
괴롭다 하지않고
서럽다 울지 않으리
세월이 흐르면
사랑의 슬픔은
잊어버린다
이슬픔 모두가
세월이 약이겠지요
세월이 약이겠지요",송대관,1993,72,성인가요/트로트
